Cell HMSLID	Cell line	Small Molecule HMSLID	Small Molecule	Seeding density	Replicate	IC50	Emax	AUC	IC curve fit	r2 for IC curve	EC50 for IC curve	Einf for IC curve	Hill coeff. for IC curve	GR50	GRmax	GR_AOC	GR curve fit	r2 for GR curve	EC50 for GR curve	Einf for GR curve	Hill coeff. for GR curve
50238	Hs 578T	10102	Taxol	1250	1	0.0096357	0.4202	0.41141	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97561	0.0026066	0.40122	1.2404	0.0034794	0.1684	0.59025	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97468	0.0027184	0.13725	1.3002
50238	Hs 578T	10102	Taxol	2500	1	Inf	0.46328	0.31917	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.95312	0.0043705	0.50167	3.9954	0.0024903	-0.15823	0.75223	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.91681	0.0030903	-0.13512	1.108
50238	Hs 578T	10102	Taxol	5000	1	0.010788	0.47417	0.31094	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.96264	0.0057641	0.47823	5	Inf	1.05	0.05389	flat fit: x = Einf	0.17892	Inf	1.05	0
50238	Hs 578T	10250	Etoposide	156.25	1	0.61984	0.26005	0.29483	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98976	0.42802	0.29626	2.4245	0.40651	-0.23314	0.48569	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99073	0.46219	-0.16581	2.2312
50238	Hs 578T	10250	Etoposide	312.5	1	0.67729	0.27641	0.27612	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98095	0.41572	0.32177	2.1135	0.47382	-0.10214	0.41194	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98559	0.48881	-0.029824	1.8597
50238	Hs 578T	10250	Etoposide	625	1	0.83967	0.23839	0.30805	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97834	0.54179	0.27446	1.817	0.50912	-0.2493	0.48766	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98298	0.61577	-0.18664	1.6679
50238	Hs 578T	10250	Etoposide	1250	1	0.89511	0.28757	0.2729	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98411	0.48019	0.37008	2.164	0.56363	-0.083851	0.39552	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9764	0.52637	0.066073	2.0723
50238	Hs 578T	10250	Etoposide	2500	1	1.1847	0.35704	0.25626	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9871	0.46603	0.41593	1.911	0.40576	-0.27245	0.5076	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9871	0.46637	-0.15559	1.946
50238	Hs 578T	10250	Etoposide	5000	1	Inf	0.57919	0.16971	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9794	0.52307	0.60113	1.7196	0.19681	-0.86156	0.89528	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97484	0.29985	-0.79913	2.2678
50238	Hs 578T	10099	Nilotinib	156.25	1	Inf	1.05	-0.0003492	flat fit: x = Einf	-0.0049363	Inf	1.05	0	Inf	1.05	0.021167	flat fit: x = Einf	0.027083	Inf	1.05	0
50238	Hs 578T	10099	Nilotinib	312.5	1	Inf	1.05	-0.030735	flat fit: x = Einf	-0.54668	Inf	1.05	0	Inf	1.05	-0.026518	flat fit: x = Einf	-0.29496	Inf	1.05	0
50238	Hs 578T	10099	Nilotinib	625	1	Inf	0.81732	0.0042939	flat fit: x = Einf	0.15161	Inf	0.81732	0	Inf	0.75966	0.013806	flat fit: x = Einf	0.22265	Inf	0.75966	0
50238	Hs 578T	10099	Nilotinib	1250	1	Inf	0.61967	0.0048166	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.64536	5.0311	0.76186	4.8866	Inf	0.48301	0.019	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.6529	4.9892	0.68044	4.9511
50238	Hs 578T	10099	Nilotinib	2500	1	Inf	0.6649	-0.00051967	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.50084	4.7947	0.81958	4.9383	Inf	0.33776	0.031825	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.48651	4.7053	0.65895	4.9941
50238	Hs 578T	10099	Nilotinib	5000	1	Inf	0.52485	0.028577	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9546	6.1649	0.51583	5	4.8079	-0.91196	0.23564	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99285	5.9668	-0.97198	5
50238	Hs 578T	10049	PLX-4720	156.25	1	Inf	0.6062	0.0080312	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.64748	14.7271	0.52063	4.9871	16.8572	0.39631	0.029093	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.65197	14.215	0.2868	4.9998
50238	Hs 578T	10049	PLX-4720	312.5	1	20.9105	0.55066	-0.021147	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.91913	20.9105	3.56E-07	5	18.8801	0.38084	-0.014797	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.95333	23.5195	-1	5
50238	Hs 578T	10049	PLX-4720	625	1	17.3658	0.47614	0.021401	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.95684	10.9385	0.45042	5	12.1566	0.19611	0.043834	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97533	11.3243	0.14926	5
50238	Hs 578T	10049	PLX-4720	1250	1	Inf	0.56521	-0.0035078	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.93256	11.9064	0.53266	5	15.4212	0.39904	0.0070946	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.96059	12.1242	0.34981	5
50238	Hs 578T	10049	PLX-4720	2500	1	Inf	0.65617	-0.0057648	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.91939	11.0447	0.63844	5	13.0414	0.3118	0.014442	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.96779	11.1138	0.27527	5
50238	Hs 578T	10049	PLX-4720	5000	1	Inf	0.95302	-0.037007	flat fit: x = Einf	-0.67568	Inf	0.95302	0	22.4908	0.68456	-0.035442	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.8206	28.0152	-0.9994	5
50238	Hs 578T	10024	NVP-TAE684	156.25	1	1.0896	0.17292	0.1935	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9877	0.9142	0.19174	2.7563	0.79627	-0.42923	0.33686	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99438	1.0035	-0.39849	2.5336
50238	Hs 578T	10024	NVP-TAE684	312.5	1	1.2531	0.20096	0.17377	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98779	1.0161	0.22922	2.9262	1.0023	-0.26777	0.27143	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99223	1.2019	-0.24905	2.2256
50238	Hs 578T	10024	NVP-TAE684	625	1	1.37	0.15716	0.22423	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98229	1.1653	0.1032	1.4286	0.8213	-0.43607	0.36585	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98928	1.3702	-0.54055	1.432
50238	Hs 578T	10024	NVP-TAE684	1250	1	1.5883	0.20305	0.21371	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.995	1.2337	0.12982	1.19	0.94922	-0.26229	0.31318	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99683	1.5549	-0.40483	1.2018
50238	Hs 578T	10024	NVP-TAE684	2500	1	2.1554	0.23454	0.19779	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99879	1.6821	0.11421	1.0459	0.69643	-0.51389	0.39251	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99868	1.6711	-0.75019	1.047
50238	Hs 578T	10024	NVP-TAE684	5000	1	7.6201	0.44544	0.12937	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99183	7.62	5.30E-06	0.75403	0.11971	-0.95576	0.74683	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.96545	0.50114	-1	0.76726
50238	Hs 578T	10071	Palbociclib	156.25	1	Inf	0.39688	0.32439	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.54054	0.066206	0.55745	1.2115	Inf	-0.073171	0.59958	flat fit: x = Einf	0.42888	Inf	-0.073171	0
50238	Hs 578T	10071	Palbociclib	312.5	1	0.76221	0.37593	0.34584	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.89487	0.13572	0.39129	0.88425	0.1277	-0.067923	0.59091	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.89824	0.14012	-0.040724	0.84417
50238	Hs 578T	10071	Palbociclib	625	1	0.41847	0.38664	0.35882	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.73269	0.2511	0.41122	3.3842	Inf	1.05	0.049242	flat fit: x = Einf	0.041805	Inf	1.05	0
50238	Hs 578T	10071	Palbociclib	1250	1	Inf	0.51906	0.29863	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97217	0.063767	0.53294	0.70667	0.3411	0.31938	0.40837	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97379	0.072068	0.35148	0.78084
50238	Hs 578T	10071	Palbociclib	2500	1	Inf	0.62135	0.23046	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.83729	0.073121	0.6604	2.5262	0.083534	0.11873	0.5807	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.77936	0.076849	0.17051	5
50238	Hs 578T	10071	Palbociclib	5000	1	61.5204	0.55519	0.19333	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.48811	61.5204	8.58E-09	0.29709	Inf	0.45632	0.91815	flat fit: x = Einf	0.15274	Inf	0.45632	0
50029	MCF7	10146	GSK2126458	156.25	1	0.009031	0.3976	0.48671	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97042	0.004274	0.44558	2.9647	0.0041853	-0.11232	0.88648	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97039	0.0042102	-0.0093596	3.1275
50029	MCF7	10146	GSK2126458	312.5	1	0.011433	0.33377	0.56547	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98337	0.0032914	0.34657	0.94872	0.0035217	-0.081238	0.89864	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98152	0.003925	-0.054717	0.95781
50029	MCF7	10146	GSK2126458	625	1	0.044297	0.35788	0.46479	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.95077	0.0081557	0.40792	0.99986	0.0043913	-0.48994	1.1099	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.94639	0.0071803	-0.38078	1.1514
50029	MCF7	10146	GSK2126458	1250	1	0.011333	0.33834	0.56413	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99035	0.0040946	0.34555	1.1539	0.0020085	-0.49373	1.289	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99382	0.0035556	-0.47406	1.1677
50029	MCF7	10146	GSK2126458	2500	1	0.013492	0.29467	0.56221	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98655	0.0054127	0.32742	1.1646	0.0035161	-0.38915	1.1077	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98882	0.0053121	-0.32041	1.2001
50029	MCF7	10146	GSK2126458	5000	1	0.012582	0.31948	0.54863	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99275	0.0054683	0.3504	1.448	0.0068441	0.0011235	0.78222	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99179	0.0062846	0.057286	1.4268
50029	MCF7	10264	Methotrexate	156.25	1	Inf	1.05	0.03247	flat fit: x = Einf	6.21E-09	Inf	1.05	0	Inf	1.05	0.078721	flat fit: x = Einf	-0.041262	Inf	1.05	0
50029	MCF7	10264	Methotrexate	312.5	1	Inf	0.83904	0.10086	flat fit: x = Einf	0.4423	Inf	0.83904	0	Inf	0.77887	0.1493	flat fit: x = Einf	0.39905	Inf	0.77887	0
50029	MCF7	10264	Methotrexate	625	1	Inf	0.88253	0.070721	flat fit: x = Einf	0.3847	Inf	0.88253	0	Inf	0.68163	0.20027	flat fit: x = Einf	0.41742	Inf	0.68163	0
50029	MCF7	10264	Methotrexate	1250	1	Inf	0.7852	0.11125	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.90947	0.1263	0.77146	5	0.18893	0.41593	0.27948	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.93219	0.12642	0.43291	5
50029	MCF7	10264	Methotrexate	2500	1	Inf	0.63576	0.16547	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.94656	0.085634	0.67717	5	0.11081	0.27858	0.34339	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.95975	0.086642	0.35386	5
50029	MCF7	10264	Methotrexate	5000	1	Inf	0.54287	0.25732	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98812	0.058378	0.5525	3.9662	0.08901	0.38083	0.34926	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99222	0.05966	0.39536	3.9094
50029	MCF7	10102	Taxol	156.25	1	0.01096	0.31038	0.3869	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.94852	0.0043229	0.40238	1.7559	0.0040855	-0.27529	0.70977	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.93325	0.0045545	-0.098469	1.6543
50029	MCF7	10102	Taxol	312.5	1	0.0034736	0.29446	0.4871	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.94201	0.0011693	0.36058	1.173	0.0012464	-0.15483	0.77039	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.94294	0.0013153	-0.031376	1.1319
50029	MCF7	10102	Taxol	625	1	0.011268	0.42053	0.37671	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.95373	0.0018783	0.46316	1.4557	0.0012129	-0.36662	0.92042	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.96884	0.0016294	-0.2756	1.4872
50029	MCF7	10102	Taxol	1250	1	0.0035799	0.33034	0.44918	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.96876	0.0014333	0.39213	1.6755	0.0009173	-0.50169	1.0377	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97221	0.001225	-0.37213	1.9234
50029	MCF7	10102	Taxol	2500	1	0.0044011	0.35614	0.41732	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97478	0.0021529	0.39478	2.1797	0.0017576	-0.26064	0.83207	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9788	0.0020609	-0.19087	2.0313
50029	MCF7	10102	Taxol	5000	1	0.0064691	0.35985	0.42198	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98197	0.0026642	0.37393	1.553	0.0034587	0.074658	0.59502	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98389	0.0029923	0.10108	1.5593
50029	MCF7	10250	Etoposide	156.25	1	5.3058	0.42166	0.19424	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.72457	2.2145	0.41504	2.0284	2.7275	0.067011	0.31219	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.71018	2.5753	0.059303	2.1983
50029	MCF7	10250	Etoposide	312.5	1	Inf	0.57962	0.11411	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.95225	1.0293	0.59698	1.3384	3.2047	0.32686	0.19555	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.96462	1.2216	0.32406	1.083
50029	MCF7	10250	Etoposide	625	1	8.9893	0.46075	0.17337	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.85359	1.4921	0.45213	1.3064	2.0967	0.153	0.2794	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.85714	1.7154	0.10754	1.2064
50029	MCF7	10250	Etoposide	1250	1	3.6183	0.40854	0.15215	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.95443	1.1715	0.43374	1.7922	1.5149	0.044199	0.25276	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.96067	1.3994	0.056372	1.5083
50029	MCF7	10250	Etoposide	2500	1	2.7934	0.38075	0.19712	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98107	0.97073	0.40485	1.5697	1.3557	0.080386	0.28434	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98429	1.1496	0.10256	1.3922
50029	MCF7	10250	Etoposide	5000	1	5.723	0.44247	0.2054	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98705	1.245	0.39941	1.0513	2.2994	0.25796	0.26086	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98967	1.4469	0.1958	1.0728
50029	MCF7	10099	Nilotinib	156.25	1	Inf	1.05	0.011877	flat fit: x = Einf	-0.0070686	Inf	1.05	0	Inf	1.05	0.032929	flat fit: x = Einf	-0.011596	Inf	1.05	0
50029	MCF7	10099	Nilotinib	312.5	1	Inf	1.05	-0.047507	flat fit: x = Einf	-65.5018	Inf	1.05	0	Inf	1.05	-0.05	flat fit: x = Einf	#NAME?	Inf	1.05	0
50029	MCF7	10099	Nilotinib	625	1	Inf	1.05	-0.0085799	flat fit: x = Einf	-0.047941	Inf	1.05	0	Inf	1.05	-0.0023561	flat fit: x = Einf	0.056083	Inf	1.05	0
50029	MCF7	10099	Nilotinib	1250	1	Inf	0.82151	0.018919	flat fit: x = Einf	0.36099	Inf	0.82151	0	Inf	0.76294	0.036379	flat fit: x = Einf	0.40767	Inf	0.76294	0
50029	MCF7	10099	Nilotinib	2500	1	Inf	0.44085	0.081332	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.70333	2.847	0.64679	5	6.6534	0.18771	0.12256	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.6917	2.945	0.4915	5
50029	MCF7	10099	Nilotinib	5000	1	5.1123	0.3213	0.15127	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.96248	3.8879	0.31632	3.6574	3.9346	0.047062	0.20073	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97415	3.8451	0.054329	5
50029	MCF7	10049	PLX-4720	156.25	1	Inf	1.05	0.039182	flat fit: x = Einf	0.028352	Inf	1.05	0	Inf	1.05	0.07014	flat fit: x = Einf	0.039198	Inf	1.05	0
50029	MCF7	10049	PLX-4720	312.5	1	Inf	1.0407	-0.04325	flat fit: x = Einf	-7.967	Inf	1.0407	0	Inf	1.0277	-0.041737	flat fit: x = Einf	-5.0111	Inf	1.0277	0
50029	MCF7	10049	PLX-4720	625	1	Inf	0.93007	-0.036617	flat fit: x = Einf	-0.20521	Inf	0.93007	0	Inf	0.92785	-0.038335	flat fit: x = Einf	-0.24187	Inf	0.92785	0
50029	MCF7	10049	PLX-4720	1250	1	Inf	0.88328	-0.027281	flat fit: x = Einf	0.38205	Inf	0.88328	0	25.8741	0.82934	-0.027755	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.59008	32.2082	-0.99442	5
50029	MCF7	10049	PLX-4720	2500	1	Inf	0.8932	-0.025982	flat fit: x = Einf	0.31533	Inf	0.8932	0	26.6745	0.85135	-0.02351	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.51153	33.1721	-0.98716	5
50029	MCF7	10049	PLX-4720	5000	1	30.4154	0.86161	-0.0057609	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.68684	27.315	0.20792	5	27.4593	0.83766	-0.0042077	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.72731	28.3756	-0.08919	5
50029	MCF7	10024	NVP-TAE684	156.25	1	0.15193	0.31932	0.39667	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.6193	0.064366	0.32616	1.2302	0.065045	-0.12981	0.63178	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.64366	0.07489	-0.10197	1.317
50029	MCF7	10024	NVP-TAE684	312.5	1	0.45088	0.27539	0.3024	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9794	0.24565	0.27325	1.3021	0.20181	-0.2296	0.50915	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98425	0.26871	-0.23074	1.3254
