CellLine	HMSLid_CellLine	DrugName	HMSLid_Drug	GR50	GRmax	GRinf	Hill_GR	GR_AOC	GEC50	GR_r2	CtrlNDiv	BiolReplicate
184A1	51088-1	Dichloroacetate	10506-110-1	Inf	0.91479	0.91479	0	0.044931	Inf	0.1851	1.365	12684.176
184A1	51088-1	Disulfiram	10507-999-1	14.6327	0.19874	0.038585	1.0041	0.11793	13.5079	0.9898	1.4645	12684.174
184A1	51088-1	Docetaxel	10247-101-1	Inf	0.51414	0.51513	1.4431	0.27797	0.0081297	0.79789	0.9502	10002.002
184A1	51088-1	Docetaxel	10247-101-1	Inf	0.5376	0.52886	1.1663	0.27959	0.0045043	0.957	1.5245	12684.002
184A1	51088-1	Docetaxel	10247-101-1	0.0072079	0.32711	0.26888	0.52112	0.48443	0.0016395	0.71112	0.5243	9047.002
184A1	51088-1	Doxorubicin	10248-101-1	0.10668	-0.99999	-0.9682	1.6201	0.95161	0.20741	0.99361	0.6736	10002.034
184A1	51088-1	Doxorubicin	10248-101-1	0.13985	-0.99871	-0.93101	1.6271	0.92142	0.26689	0.98069	0.7949	9047.121
184A1	51088-1	Epirubicin	10249-999-1	0.20465	-0.99991	-0.97343	1.1936	0.88409	0.50611	0.98867	0.844	9047.017
184A1	51088-1	Erlotinib	10097-102-3	0.20794	-0.17732	-0.14815	3.4384	0.48579	0.22424	0.99688	1.1729	5895.091
184A1	51088-1	Etoposide	10250-101-1	9.2856	-0.76801	-1	0.81595	0.40437	35.6903	0.98264	1.4541	5894.074
184A1	51088-1	Etoposide	10250-101-1	10.4865	-0.73949	-1	0.78905	0.37096	42.1993	0.9859	1.1218	5895.074
184A1	51088-1	Everolimus	10235-101-2	0.023165	-0.96102	-1	0.22905	0.68605	2.8047	0.65157	1.1949	12509.164
184A1	51088-1	FR180204	10110-101-1	30.4544	0.29194	0.29116	4.9895	0.056494	25.5658	0.94952	1.2847	12509.166
184A1	51088-1	FTase Inhibitor I	10508-101-1	Inf	0.99878	0.99878	0	-0.0032651	Inf	-0.00085898	1.4256	12509.167
184A1	51088-1	Fascaplysin	10251-112-1	0.44564	-0.94375	-0.93918	2.4104	0.57335	0.69098	0.99926	1.5903	5894.084
184A1	51088-1	Fascaplysin	10251-112-1	0.34845	-0.94596	-0.9541	1.9822	0.62065	0.59708	0.99797	1.4396	5895.085
184A1	51088-1	GM6001	10509-101-1	Inf	0.97626	0.97626	0	-0.014079	Inf	-0.10568	1.4232	5895.096
184A1	51088-1	GSK1070916	10062-101-3	0.64737	-0.55054	-0.80305	0.67587	0.39157	2.6708	0.9922	0.5372	10002.001
184A1	51088-1	GSK1070916	10062-101-3	0.83697	-0.44569	-0.97353	0.58845	0.38123	5.2526	0.98281	0.7701	9047.001
184A1	51088-1	GSK1838705	10255-101-1	0.36902	0.033285	0.048682	2.2061	0.37816	0.35227	0.99697	1.6523	5894.098
184A1	51088-1	GSK1838705	10255-101-1	0.38664	-0.6029	-0.46208	1.2945	0.56721	0.64104	0.96838	1.1729	5895.091
184A1	51088-1	GSK1838705	10255-101-1	0.42849	0.016623	0.053765	1.6165	0.35736	0.39937	0.99372	1.4041	5895.098
184A1	51088-1	GSK2126458	10146-101-2	0.0018293	-0.50322	-0.17457	0.83627	0.83087	0.002617	0.91633	1.2802	5895.086
184A1	51088-1	GSK461364	10013-101-3	6.0662	-0.97173	-1	2.6972	0.26054	9.1162	0.97347	0.5372	10002.001
184A1	51088-1	GSK461364	10013-101-3	4.1581	-0.0072692	-1	0.43344	0.26204	52.4411	0.74636	0.7701	9047.001
184A1	51088-1	GSK923295	10257-101-1	8.4717	-0.95068	-1	3.4729	0.2407	11.624	0.94387	0.5372	10002.001
184A1	51088-1	GSK923295	10257-101-1	Inf	0.038463	0.038463	0	0.25098	Inf	0.52258	0.7701	9047.001
184A1	51088-1	GW-5074	10029-101-2	2.2064	-0.53588	-0.65709	1.254	0.25075	4.3079	0.99318	1.3297	5895.088
184A1	51088-1	Gefitinib	10098-101-2	Inf	0.44137	0.44137	0	0.43978	Inf	0.35882	0.6985	9047.132
184A1	51088-1	Geldanamycin	10108-101-2	0.0023163	-0.49626	-0.46941	3.614	1.2014	0.002782	0.99455	0.5807	10002.012
184A1	51088-1	Geldanamycin	10108-101-2	0.0023522	-0.4629	-0.44289	4.3174	1.1812	0.0027244	0.99378	0.7549	9047.012
184A1	51088-1	Gemcitabine	10252-101-1	0.39288	-0.71972	-1	0.4967	0.66652	3.5879	0.95196	0.6293	9047.011
184A1	51088-1	Glycyl-H-1152	10253-102-1	Inf	0.88204	0.88204	0	0.067301	Inf	0.009156	1.5064	12509.169
184A1	51088-1	ICRF-193	10259-101-1	Inf	0.64327	0.6783	0.65978	0.13275	0.17119	0.92018	1.2837	12509.157
184A1	51088-1	IKK16	10228-102-2	1.0111	-0.95637	-1	1.2884	0.50845	2.3721	0.98817	1.3259	5895.093
184A1	51088-1	Ibandronate	10258-110-1	155.2284	-0.914	-1	1.7741	0.27845	288.3407	0.9964	1.3392	12509.143
184A1	51088-1	Imatinib	10023-103-3	16.0901	-0.98986	-1	2.2032	0.46297	26.4923	0.99687	1.1729	5895.091
184A1	51088-1	Ispinesib	10260-999-1	1.6218	-0.92883	-1	1.4339	0.3983	3.4894	0.95807	1.5647	5894.067
184A1	51088-1	Ispinesib	10260-999-1	2.2507	-0.90911	-0.99999	1.5491	0.34971	4.5741	0.96921	1.4053	5895.067
184A1	51088-1	Ixabepilone	10261-101-1	0.4664	-0.90102	-0.89763	2.5388	0.61585	0.69919	0.9985	1.7133	5894.095
184A1	51088-1	Ixabepilone	10261-101-1	0.14338	-0.95014	-1	0.65544	0.68287	0.76637	0.94833	1.4629	5895.095
184A1	51088-1	JNK-IN-5A	10208-101-2	Inf	0.38589	0.61714	4.999	0.14867	0.95387	0.72739	1.3516	12509.168
184A1	51088-1	L-779450	10262-101-1	8.5652	-0.71074	-0.99999	2.1129	0.16724	14.4064	0.96866	1.2847	12509.166
184A1	51088-1	LBH589	10263-101-1	0.29923	-0.74145	-0.8021	0.87729	0.48842	0.89089	0.99046	1.4256	12509.167
184A1	51088-1	Lapatinib	10051-999-3	1.9626	0.079401	0.073644	2.3169	0.14988	1.8321	0.99568	1.6523	5894.098
184A1	51088-1	Lapatinib	10051-999-3	1.8462	0.23367	0.46585	5	0.084548	1.0794	0.80113	1.4041	5895.098
184A1	51088-1	Lestaurtinib	10230-101-2	1.4678	-0.86692	-0.86557	2.3156	0.38085	2.2652	0.99592	1.4256	12509.167
184A1	51088-1	MG-132	10107-101-2	0.02024	-0.8085	-0.64925	0.8994	0.92761	0.051061	0.94489	1.3955	12509.170
184A1	51088-1	MLN4924	10265-101-1	0.63324	-0.039533	-0.041484	0.67938	0.35939	0.71207	0.98797	1.3717	12509.135
184A1	51088-1	Mebendazole	10511-999-1	Inf	0.53338	0.57451	5	0.17234	0.36667	0.9699	1.4645	12684.174
184A1	51088-1	Methotrexate	10264-101-1	0.058403	-0.29917	-0.31265	4.8467	0.90236	0.064559	0.9966	1.5903	5894.084
184A1	51088-1	Methotrexate	10264-101-1	0.051173	-0.30709	-0.31931	3.3302	0.88746	0.059353	0.99878	1.4396	5895.085
184A1	51088-1	NSC 663284	10266-101-1	1.6173	-0.93033	-0.92903	4.632	0.65275	2.0289	0.99708	1.3755	12509.152
184A1	51088-1	NU6102	10267-101-1	6.5919	-0.87212	-1	1.6264	0.2474	12.9528	0.9935	1.2058	12509.147
184A1	51088-1	Nelfinavir	10513-999-1	3.03	-0.64454	-0.65434	2.5101	0.29904	4.2287	0.9857	1.4645	12684.174
184A1	51088-1	Nilotinib	10099-101-2	Inf	0.82598	0.86145	1.034	0.078063	0.16976	0.80067	1.3955	12509.170
184A1	51088-1	Nutlin 3a	10268-101-1	6.7664	-0.89488	-1	1.2254	0.27782	16.5846	0.93874	1.5027	5894.066
184A1	51088-1	Nutlin 3a	10268-101-1	3.2228	-0.97252	-1	0.95117	0.31331	10.2295	0.95594	1.1612	5895.066
184A1	51088-1	Olomoucine II	10344-101-1	3.3523	-0.34356	-0.32304	2.5061	0.33112	4.0899	0.99556	1.2058	12509.147
184A1	51088-1	Oxaliplatin	10269-101-1	1.9801	-0.99084	-1	1.0019	0.75273	5.9278	0.9764	0.7195	10002.021
184A1	51088-1	Oxaliplatin	10269-101-1	0.53932	-0.9996	-1	0.78535	0.88867	2.1846	0.99283	0.6293	9047.011
184A1	51088-1	Oxamflatin	10270-101-1	1.6531	-0.95326	-1	1.4659	0.47359	3.4976	0.99178	1.2058	12509.147
184A1	51088-1	PD 98059	10271-101-2	Inf	0.7622	0.7622	0	0.059539	Inf	0.44821	1.3755	12509.152
184A1	51088-1	PD173074	10026-101-3	8.4653	-0.075991	-0.18227	1.9169	0.095917	9.9555	0.98657	1.3259	5895.093
184A1	51088-1	PD184352	10048-101-7	8.5592	0.11721	-1	0.63528	0.14323	48.247	0.95091	1.3444	12509.155
184A1	51088-1	PS-1145	10514-102-1	Inf	0.83837	0.83828	4.9997	-0.0087362	416.6125	0.74899	1.6064	5894.065
184A1	51088-1	PS-1145	10514-102-1	Inf	1.0031	1.0031	0	-0.038939	Inf	-4.6402	1.3748	5895.065
184A1	51088-1	Pemetrexed	10272-999-1	53.7251	-0.17924	-0.091999	1.0901	0.35075	62.7289	0.93997	1.7133	5894.095
184A1	51088-1	Pemetrexed	10272-999-1	0.40767	-0.016463	-0.021886	1.6956	0.71038	0.4181	0.99238	1.4629	5895.095
184A1	51088-1	Purvalanol A	10273-101-1	6.0088	0.10642	0.14878	1.4817	0.23435	4.7344	0.97977	1.5647	5894.067
184A1	51088-1	Purvalanol A	10273-101-1	51.1843	0.35578	0.35527	4.9894	0.045692	39.9231	0.97644	1.4053	5895.067
184A1	51088-1	QNZ	10515-101-1	97.0933	0.5808	0.26575	0.36931	0.13404	12.4605	0.89744	1.4232	5895.096
184A1	51088-1	Rapamycin	10052-101-3	Inf	-0.27937	-0.27937	0	0.58213	Inf	0.49947	0.9562	7787.068
184A1	51088-1	SB-3CT	10274-101-1	433.2576	0.61801	-0.26718	0.51184	0.058514	1000	0.88691	1.3516	12509.168
184A1	51088-1	Selumetinib	10056-101-2	0.33719	0.042156	0.018177	0.97216	0.37454	0.32458	0.99238	1.3444	12509.155
184A1	51088-1	Sigma A6730	10035-109-2	3.1424	-0.65529	-1	0.77135	0.31611	13.0561	0.98849	1.5022	12509.165
184A1	51088-1	Sorafenib	10008-104-3	3.9368	-0.59947	-0.45732	1.433	0.55856	6.1944	0.98508	1.5903	5894.084
184A1	51088-1	Sorafenib	10008-104-3	1.6035	-0.63519	-0.45478	2.682	0.54813	2.0408	0.96844	1.4396	5895.085
184A1	51088-1	Sunitinib	10175-106-3	4.44	-0.94127	-0.99565	1.787	0.45818	8.1973	0.99494	1.5647	5894.067
184A1	51088-1	Sunitinib	10175-106-3	5.4249	-0.91347	-0.90794	2.6878	0.41876	7.9739	0.99822	1.4053	5895.067
184A1	51088-1	TAPI-0	10519-101-1	Inf	0.88039	0.88034	5	-0.006504	6.6258	0.5959	1.4232	5895.096
184A1	51088-1	TCS 2312	10276-101-1	0.52576	-0.60276	-0.39289	2.1732	0.39719	0.68654	0.97046	1.3755	12509.152
184A1	51088-1	TCS PIM-1 1	10520-101-1	11.0502	0.36524	0.31687	0.6733	0.22651	2.486	0.9787	1.3717	12509.135
184A1	51088-1	TPCA-1	10136-101-2	4.5264	0.36591	0.39116	2.7579	0.12898	2.604	0.98363	1.3259	5895.093
184A1	51088-1	Taxol	10102-101-3	0.039931	0.39924	0.41474	2.1347	0.33795	0.017435	0.97867	0.9502	10002.002
184A1	51088-1	Taxol	10102-101-3	Inf	0.43969	0.5237	1.5161	0.28195	0.016158	0.95612	1.5245	12684.002
184A1	51088-1	Taxol	10102-101-3	0.05134	-0.19584	-0.27577	0.44732	0.53884	0.13706	0.92195	0.5243	9047.002
184A1	51088-1	Temsirolimus	10277-101-1	0.69862	-0.92465	-1	0.601	0.62002	4.3464	0.88239	1.3516	12509.168
184A1	51088-1	Topotecan	10278-999-1	0.065711	-0.5195	-0.5794	0.68743	0.81368	0.20129	0.94122	0.7949	9047.121
184A1	51088-1	Tozasertib	10021-101-5	2.4757	-0.31993	-1	0.48561	0.36958	23.7806	0.98227	1.5064	12509.169
184A1	51088-1	Trametinib	10142-999-2	0.0024647	-0.33193	-0.34248	1.2572	0.88163	0.0037324	0.99501	0.5807	10002.012
184A1	51088-1	Trametinib	10142-999-2	0.0012095	-0.2658	-0.26216	0.85475	0.89038	0.0019806	0.97281	0.7549	9047.012
184A1	51088-1	Trastuzumab	80025-1	Inf	0.28367	0.28367	0	0.21696	Inf	0.080369	0.5972	9047.026
184A1	51088-1	Trichostatin A	10279-101-1	21.39	-0.84694	-0.83644	0.98344	0.628	58.1276	0.99739	1.6064	5894.065
184A1	51088-1	Trichostatin A	10279-101-1	18.7979	-0.94562	-0.96725	1.0936	0.67993	50.306	0.9969	1.3748	5895.065
184A1	51088-1	Triciribine	10280-101-1	0.10268	-0.66221	-0.61119	0.78251	0.58069	0.28489	0.98656	1.4541	5894.074
184A1	51088-1	Triciribine	10280-101-1	0.087924	-0.76858	-0.71286	0.88274	0.64193	0.23992	0.99558	1.1218	5895.074
184A1	51088-1	Valproic acid	10346-110-1	612.316	-0.4448	-0.32069	1.0103	0.27167	1000	0.94407	1.3392	12509.143
184A1	51088-1	Vinorelbine	10281-101-1	Inf	-0.9963	-0.9963	0	0.48311	Inf	0.44991	0.3791	7787.018
184A1	51088-1	Vorinostat	10282-101-1	174.6449	-0.39457	-0.46844	0.75575	0.42008	418.843	0.98593	1.6064	5894.065
184A1	51088-1	Vorinostat	10282-101-1	141.5536	-0.6699	-0.87927	0.61601	0.48396	735.0164	0.99089	1.3748	5895.065
184A1	51088-1	XRP44X	10283-101-1	0.40211	0.34619	0.38419	1.3397	0.33282	0.13495	0.98587	1.2837	12509.157
184A1	51088-1	ZM-447439	10096-101-2	Inf	0.54223	0.52769	0.92402	0.15918	1.2021	0.9369	1.5064	12509.169
184B5	50576-1	17-AAG	10236-101-1	0.02221	-0.9385	-0.76587	3.3756	1.0941	0.029245	0.99097	1.0013	9095.037
184B5	50576-1	2-deoxyglucose	10501-999-1	559.3955	-0.1158	-0.11605	5	0.21478	583.241	0.71067	0.5647	12979.177
184B5	50576-1	5-DFUR	10237-101-1	303.4338	0.15136	-0.27343	0.36578	0.27663	999.9991	0.99063	1.6413	12566.143
184B5	50576-1	AG1024	10239-101-1	0.20947	-0.15134	0.0066368	4.9829	0.40281	0.20891	0.96861	1.4224	5896.066
184B5	50576-1	AG1024	10239-101-1	0.22173	-0.17227	-0.010751	4.992	0.37621	0.22268	0.96122	1.2737	5897.066
184B5	50576-1	AS-252424	10240-101-1	26.5219	0.41587	-1	0.70561	0.098226	125.832	0.89435	1.7248	12566.165
184B5	50576-1	Afatinib	10133-101-2	0.11327	-0.86175	-1	0.47342	0.6795	1.1533	0.92913	1.7248	12566.165
184B5	50576-1	BEZ235	10232-101-2	0.1018	0.1073	0.12789	4.9998	0.41164	0.095963	0.97544	1.5389	12566.155
184B5	50576-1	Baicalein	10343-101-1	259.9401	0.73929	0.42841	4.7935	-0.00038009	173.2901	0.89815	1.2323	5897.073
184B5	50576-1	Bortezomib	10241-101-1	0.015167	-0.79916	-0.7384	1.2208	1.1454	0.031882	0.99249	1.4124	5896.074
184B5	50576-1	Bortezomib	10241-101-1	0.025455	-0.79493	-0.62459	2.1998	1.0567	0.036796	0.97112	1.2824	5897.074
184B5	50576-1	Bosutinib	10189-101-2	0.54836	-0.28647	-0.33682	1.163	0.40442	0.85384	0.99329	1.4648	12566.170
184B5	50576-1	Bromopyruvic acid	10502-101-1	0.027401	-1	-0.99996	5	1.0789	0.034134	0.99882	0.5647	12979.177
184B5	50576-1	CGC-11047	10243-999-1	486.6545	-0.9562	-0.95915	5	0.30888	602.9019	0.99686	1.0168	9095.026
184B5	50576-1	CPT-11	10246-101-1	2.5192	-0.26429	-0.96548	0.44151	0.31009	28.7749	0.95652	1.1992	9095.121
184B5	50576-1	Carboplatin	10242-101-1	5.7783	-0.90334	-0.92998	1.1638	0.68526	14.2532	0.98817	1.2263	9095.119
184B5	50576-1	Cetuximab	80027-1	0.040892	0.12046	0.10079	0.90243	0.18733	0.031864	0.97429	1.0168	9095.026
184B5	50576-1	Chloroquine	10505-999-1	19.6465	-1	-1	5	0.15122	24.4743	0.95262	0.5647	12979.177
184B5	50576-1	Cisplatin	10245-101-1	Inf	0.716	0.70796	3.7384	0.01365	193.5844	0.89373	1.1202	9095.049
184B5	50576-1	Dichloroacetate	10506-110-1	Inf	0.90859	0.86523	4.8576	0.034987	0.012195	0.70451	1.0091	12979.176
184B5	50576-1	Disulfiram	10507-999-1	13.4616	-0.96004	-1	2.9286	0.21185	19.589	0.98006	1.568	12979.174
184B5	50576-1	Docetaxel	10247-101-1	Inf	0.72204	0.72204	0	0.16666	Inf	0.16069	1.3178	12979.002
184B5	50576-1	Docetaxel	10247-101-1	0.0044352	0.41698	0.39012	2.1393	0.39296	0.0021843	0.9566	1.0607	9095.002
184B5	50576-1	Doxorubicin	10248-101-1	0.1189	-0.98886	-0.99135	1.7083	0.96938	0.22542	0.98844	1.1992	9095.121
184B5	50576-1	Erlotinib	10097-102-3	0.19497	0.099897	0.14739	0.88662	0.42527	0.13149	0.97533	1.4988	5896.091
184B5	50576-1	Erlotinib	10097-102-3	1.2884	0.034782	-0.0091594	0.81289	0.30292	1.3175	0.98117	1.2296	5897.091
184B5	50576-1	Etoposide	10250-101-1	4.0881	-0.45131	-1	0.44282	0.43982	48.8632	0.97375	1.4124	5896.074
184B5	50576-1	Etoposide	10250-101-1	20.4017	-0.11727	-0.38581	0.74207	0.28191	44.0924	0.98021	1.2824	5897.074
184B5	50576-1	Everolimus	10235-101-2	3.6369	0.2684	-0.82049	0.17304	0.35132	995.798	0.84798	1.5173	12566.164
184B5	50576-1	FR180204	10110-101-1	12.8609	0.20459	0.17741	1.4873	0.14608	9.5787	0.99053	1.201	12566.166
184B5	50576-1	FTase Inhibitor I	10508-101-1	Inf	0.94674	0.94671	4.9807	0.0009213	12.1679	0.74472	1.5941	12566.167
184B5	50576-1	Fascaplysin	10251-112-1	0.23326	-0.91613	-0.91151	2.7115	0.67717	0.34203	0.9996	1.52	5896.084
184B5	50576-1	Fascaplysin	10251-112-1	0.3268	-0.96502	-0.96724	2.6852	0.65993	0.48798	0.9981	1.2392	5897.085
184B5	50576-1	GM6001	10509-101-1	Inf	0.95902	0.95902	0	0.020576	Inf	-0.022802	1.281	5897.096
184B5	50576-1	GSK1070916	10062-101-3	0.66025	-0.57516	-1	0.56352	0.3925	4.6387	0.98299	1.0444	9095.001
184B5	50576-1	GSK1838705	10255-101-1	0.48701	-0.33894	-0.20604	0.93767	0.49019	0.70366	0.96305	1.4988	5896.091
184B5	50576-1	GSK1838705	10255-101-1	0.53928	-0.37842	-0.44866	0.62559	0.44332	1.5011	0.98742	1.6038	5896.098
184B5	50576-1	GSK1838705	10255-101-1	2.518	-0.93426	-1	0.83612	0.43497	9.3691	0.98583	1.2296	5897.091
184B5	50576-1	GSK2126458	10146-101-2	0.0062047	-0.65932	-0.45737	0.63403	0.82705	0.017285	0.94825	1.2814	5897.086
184B5	50576-1	GSK461364	10013-101-3	0.17731	-0.97193	-1	0.41034	0.46369	2.5792	0.7474	1.0444	9095.001
184B5	50576-1	GSK923295	10257-101-1	1.8204	-0.68931	-1	0.61549	0.31017	10.8481	0.77599	1.0444	9095.001
184B5	50576-1	GW-5074	10029-101-2	2.7055	-0.17248	-0.18163	2.1826	0.24099	3.1182	0.98942	1.295	5897.088
184B5	50576-1	Gefitinib	10098-101-2	0.036434	-0.2658	-0.1449	0.87267	0.56062	0.04877	0.98431	1.1202	9095.049
184B5	50576-1	Geldanamycin	10108-101-2	0.0085905	-0.75759	-0.72554	2.9985	1.2019	0.011584	0.99907	1.1202	9095.049
184B5	50576-1	Gemcitabine	10252-101-1	0.39268	-0.42436	-0.98039	0.13841	0.68904	1000	0.74652	1.2263	9095.119
184B5	50576-1	Glycyl-H-1152	10253-102-1	211.2601	0.59096	-0.3569	0.34653	0.10531	999.9273	0.89709	1.6359	12566.169
184B5	50576-1	ICRF-193	10259-101-1	Inf	0.64027	0.6293	1.2114	0.17855	0.13728	0.92882	1.5151	12566.171
184B5	50576-1	IKK16	10228-102-2	1.7335	-0.94871	-0.98788	2.0655	0.46216	2.9391	0.99672	1.2047	5897.093
184B5	50576-1	Ibandronate	10258-110-1	246.0481	-0.83254	-0.89908	2.4033	0.2099	377.5387	0.9974	1.6413	12566.143
184B5	50576-1	Imatinib	10023-103-3	23.1815	-0.94929	-0.95835	2.7948	0.4637	34	0.99403	1.4988	5896.091
184B5	50576-1	Imatinib	10023-103-3	24.7378	-0.95467	-0.95678	3.023	0.41862	35.2366	0.99898	1.2296	5897.091
184B5	50576-1	Ispinesib	10260-999-1	0.56462	-0.93492	-1	0.62054	0.44004	3.3162	0.90838	1.4536	5896.067
184B5	50576-1	Ispinesib	10260-999-1	1.9468	-0.96329	-0.96739	3.0241	0.408	2.7793	0.98274	1.1908	5897.067
184B5	50576-1	Ixabepilone	10261-101-1	0.082549	-0.92879	-1	0.57031	0.71313	0.56666	0.95369	1.5532	5896.095
184B5	50576-1	Ixabepilone	10261-101-1	0.20628	-0.96653	-1	0.76143	0.64016	0.8731	0.96234	1.2197	5897.095
184B5	50576-1	JNK-IN-5A	10208-101-2	197.4739	0.47893	-0.44336	4.9982	0.015734	224.2185	0.95581	1.4366	12566.168
184B5	50576-1	L-779450	10262-101-1	3.6012	-0.53603	-0.8326	1.1766	0.20211	8.2847	0.99329	1.201	12566.166
184B5	50576-1	LBH589	10263-101-1	0.13317	-0.44875	-0.6154	0.5488	0.51713	0.57457	0.98264	1.5941	12566.167
184B5	50576-1	Lapatinib	10051-999-3	19.7347	0.50241	0.44659	0.75353	0.1314	1.0142	0.97431	1.6038	5896.098
184B5	50576-1	Lestaurtinib	10230-101-2	0.40063	-0.88548	-1	0.9963	0.54805	1.2068	0.99288	1.5941	12566.167
184B5	50576-1	MG-132	10107-101-2	0.017016	-0.6444	-0.51568	1.1297	0.9111	0.031864	0.96665	1.4648	12566.170
184B5	50576-1	MLN4924	10265-101-1	0.15715	-0.48382	-0.50226	0.50619	0.5445	0.62079	0.97466	1.6384	12566.135
184B5	50576-1	Mebendazole	10511-999-1	Inf	0.53383	0.64501	4.9853	0.15886	0.50538	0.65933	1.568	12979.174
184B5	50576-1	Methotrexate	10264-101-1	0.026833	-0.47106	-0.48485	3.3686	1.0619	0.032814	0.99796	1.52	5896.084
184B5	50576-1	Methotrexate	10264-101-1	0.04372	-0.61793	-0.61525	5	1.1076	0.051329	0.99926	1.2392	5897.085
184B5	50576-1	NSC 663284	10266-101-1	2.3729	-0.88604	-0.87958	3.3767	0.57838	3.2049	0.99879	1.4827	12566.152
184B5	50576-1	NU6102	10267-101-1	4.5597	-0.86303	-1	1.2816	0.29447	10.745	0.99788	1.6169	12566.147
184B5	50576-1	Nelfinavir	10513-999-1	5.297	-0.74447	-0.80317	2.3659	0.18465	7.941	0.99342	1.568	12979.174
184B5	50576-1	Nilotinib	10099-101-2	Inf	0.92227	0.92536	0.80464	0.046409	0.087095	0.8541	1.4648	12566.170
184B5	50576-1	Nutlin 3a	10268-101-1	2.2905	-0.93812	-1	0.68237	0.37048	11.4591	0.85143	1.4224	5896.066
184B5	50576-1	Nutlin 3a	10268-101-1	13.7873	-0.95366	-1	2.8854	0.19201	20.1759	0.99173	1.2737	5897.066
184B5	50576-1	Olomoucine II	10344-101-1	3.3567	-0.36938	-0.45721	1.1635	0.34932	5.8657	0.98987	1.6169	12566.147
184B5	50576-1	Oxaliplatin	10269-101-1	3.2286	-0.94845	-1	0.6874	0.6144	15.9627	0.95695	1.2263	9095.119
184B5	50576-1	Oxamflatin	10270-101-1	1.1319	-0.85745	-1	0.97725	0.50196	3.4836	0.9814	1.6169	12566.147
184B5	50576-1	PD 98059	10271-101-2	Inf	0.90685	0.90685	0	0.0065541	Inf	0.42266	1.4827	12566.152
184B5	50576-1	PD173074	10026-101-3	28.4262	0.20386	-0.56317	4.9999	0.00879	33.0557	0.97532	1.2047	5897.093
