Cell HMSLID	Cell line	Small Molecule HMSLID	Small Molecule	IC50	Emax	AUC	IC curve fit	r2 for IC curve	EC50 for IC curve	Einf for IC curve	Hill coeff. for IC curve	GR50	GRmax	AUC_GR	GR curve fit	r2 for GR curve	EC50 for GR curve	Einf for GR curve	Hill coeff. for GR curve
51088	184A1	10241	Bortezomib	0.080597	0.06652	0.52982	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.95528	0.061509	0.10657	0.8869	0.0378	-0.6899	0.90432	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.95544	0.13696	-0.68008	0.66705
51088	184A1	10241	Bortezomib	0.10962	0.061218	0.52878	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.95159	0.083744	0.078972	0.63837	0.021569	-0.8342	1.0109	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.95348	0.11238	-0.82457	0.5902
51088	184A1	10189	Bosutinib	0.91686	0.34148	0.23227	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.94046	0.42412	0.36891	1.7365	0.46703	-0.11954	0.36996	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.94127	0.49539	-0.048324	1.5652
51088	184A1	10242	Carboplatin	20.8259	0.041357	0.30549	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.95524	17.9076	0.14327	2.2363	9.6102	-0.98569	0.73208	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.94691	14.3966	-0.88701	2.5244
51088	184A1	10242	Carboplatin	25.4046	0.17149	0.26672	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99391	21.0982	0.20204	2.787	13.7113	-0.82264	0.61397	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99286	18.9166	-0.77851	2.9173
51088	184A1	10243	CGC-11047	342.5661	0.005698	0.30103	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.8748	342.5661	2.27E-14	2.2496	5.9016	-0.99956	0.74886	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.81576	72.5505	-1	0.43786
51088	184A1	10243	CGC-11047	449.0633	0.0082735	0.27085	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.90184	447.4431	0.0050854	2.8284	0.04208	-1	1.5591	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.83099	0.050476	-0.73813	4.9845
51088	184A1	10243	CGC-11047	522.6553	0.026838	0.25634	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.89554	516.2371	0.012251	2.0077	242.8577	-0.99378	0.62598	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.79989	400.9752	-1	2.191
51088	184A1	10243	CGC-11047	1658.3008	0.38401	0.053933	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.87131	1000	0.46013	5	842.2193	-0.82939	0.22067	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.91906	1000	-0.6799	5
51088	184A1	10244	CGC-11144	0.14304	0.20556	0.54255	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9982	0.12829	0.19715	4.6064	0.12781	-0.2058	0.82676	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99761	0.13865	-0.2255	4.572
51088	184A1	10244	CGC-11144	4.041	0.003208	0.40886	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.976	4.041	4.06E-12	0.88311	2.2639	-0.96396	0.73132	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98492	7.2237	-1	0.94685
51088	184A1	10245	Cisplatin	3.2365	0.0014468	0.30062	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99128	3.1603	0.02155	1.8491	1.2921	-1	0.7837	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99849	1.6095	-0.99975	5
51088	184A1	10245	Cisplatin	4.6757	0.0074089	0.2658	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97887	4.2807	0.11328	2.9104	2.9096	-0.99396	0.57713	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98822	3.975	-0.82989	3.135
51088	184A1	10245	Cisplatin	6.5969	0.046496	0.28033	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99704	6.0859	0.061757	1.6352	2.6384	-0.97147	0.62863	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.996	4.8209	-0.95586	1.773
51088	184A1	10246	CPT-11	4.7537	0.10903	0.18851	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99796	4.5191	0.11178	4.999	3.4304	-0.92521	0.42443	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99627	4.2287	-0.92301	4.9992
51088	184A1	10246	CPT-11	9.8807	0.23911	0.20632	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.92927	7.0665	0.21349	1.6611	3.3951	-0.66909	0.47735	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.91181	6.7415	-0.77641	1.3663
51088	184A1	10246	CPT-11	13.1149	0.16656	0.13037	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97359	11.4722	0.16314	2.9511	5.5939	-1	0.40964	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.95092	6.9698	-0.99999	4.996
51088	184A1	10247	Docetaxel	Inf	0.66977	0.19986	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.95279	0.0042498	0.66353	1.1319	Inf	0.53757	0.28037	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.95605	0.0044926	0.52791	1.1463
51088	184A1	10247	Docetaxel	Inf	0.76765	0.133	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.79604	0.0081955	0.76792	1.4475	Inf	0.51417	0.27791	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.79789	0.0081315	0.51519	1.4432
51088	184A1	10247	Docetaxel	Inf	0.80651	0.13395	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.70552	0.002361	0.7921	0.67863	0.0080316	0.32773	0.47414	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.77107	0.0021084	0.2733	0.59142
51088	184A1	10247	Docetaxel	Inf	0.85077	0.099791	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.85887	0.0020095	0.84926	0.90734	0.00042521	-0.99801	1.5317	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99815	0.00052845	-0.98242	5
51088	184A1	10248	Doxorubicin	0.28226	0.00052304	0.39927	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97814	0.25329	0.091855	1.8741	0.021461	-1	1.2	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99866	0.032093	-0.99291	2.7185
51088	184A1	10248	Doxorubicin	0.30818	0.00025805	0.4266	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99036	0.2855	0.05165	1.4266	0.10415	-0.99999	0.94631	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99425	0.2136	-0.97102	1.5024
51088	184A1	10248	Doxorubicin	0.35383	0.0029099	0.42729	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97931	0.32645	0.054712	1.4385	0.13999	-0.99864	0.91935	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98076	0.26942	-0.93094	1.6061
51088	184A1	10249	Epirubicin	0.6728	0.0002058	0.4163	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98629	0.65142	0.017979	1.1339	0.20571	-0.99991	0.88293	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98874	0.51057	-0.97415	1.1894
51088	184A1	10249	Epirubicin	0.67313	0.0014468	0.4141	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99643	0.67311	3.34E-05	1.9229	0.25989	-1	0.92991	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99882	0.32372	-0.9993	5
51088	184A1	10097	Erlotinib	0.32211	0.35277	0.26123	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99151	0.2194	0.36758	3.4599	0.20781	-0.17741	0.48602	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9969	0.2241	-0.1482	3.4393
51088	184A1	10250	Etoposide	18.7566	0.043613	0.24808	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97239	18.7566	8.91E-10	0.79333	9.2921	-0.774	0.40524	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98254	35.5082	-1	0.81949
51088	184A1	10250	Etoposide	34.3805	0.10163	0.19749	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98212	34.3805	5.32E-10	0.79577	10.4782	-0.73959	0.37118	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98586	42.1823	-1	0.78883
51088	184A1	10235	Everolimus	1.2094	0.0090448	0.38669	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.66715	1.2094	1.03E-08	0.20642	0.023004	-0.96137	0.68649	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.65153	2.7938	-1	0.2289
51088	184A1	10251	Fascaplysin	0.46958	0.0037431	0.33647	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99538	0.46953	0.00012	2.1566	0.34843	-0.96242	0.6252	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99796	0.60219	-0.97165	1.9731
51088	184A1	10251	Fascaplysin	0.52318	0.0023464	0.30867	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99797	0.5222	0.0025458	2.7222	0.44609	-0.95961	0.57823	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99932	0.69707	-0.95884	2.3989
51088	184A1	10098	Gefitinib	Inf	0.66334	0.089184	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.61288	1.8056	0.73175	5	Inf	-0.99944	0.84241	flat fit: x = Einf	0.20942	Inf	-0.99944	0
51088	184A1	10098	Gefitinib	Inf	0.7955	0.16225	flat fit: x = Einf	0.35373	Inf	0.7955	0	0.0037929	0.52736	0.4429	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.69098	0.0026346	0.41913	4.9994
51088	184A1	10108	Geldanamycin	0.0039481	0.37064	0.50555	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9948	0.0028239	0.381	4.2834	0.00236	-0.46264	1.1805	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99442	0.0027325	-0.44269	4.3275
51088	184A1	10108	Geldanamycin	0.0062227	0.44902	0.43674	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99539	0.003003	0.46269	3.5622	0.0023208	-0.49618	1.2009	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99489	0.0027865	-0.46926	3.6196
51088	184A1	10252	Gemcitabine	13.8534	0.29037	0.2453	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.96884	10.9054	0.052957	0.46789	0.41152	-0.71851	0.66116	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9561	3.6712	-1	0.50201
51088	184A1	10253	Glycyl-H-1152	Inf	0.91249	0.049997	flat fit: x = Einf	0.0092649	Inf	0.91249	0	Inf	0.88145	0.06769	flat fit: x = Einf	0.008889	Inf	0.88145	0
51088	184A1	10172	GSK1059615	0.064143	0.29293	0.47814	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98777	0.032927	0.26629	1.1406	0.014307	-0.60632	1.0927	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98837	0.031333	-0.66131	1.075
51088	184A1	10172	GSK1059615	0.16659	0.27288	0.40758	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98915	0.062178	0.32449	1.0623	0.018947	-0.78542	1.075	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99399	0.044333	-0.71429	1.0438
51088	184A1	10062	GSK1070916	10.0129	0.37225	0.15547	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97966	5.622	0.1518	0.6269	0.84504	-0.44552	0.38002	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98301	5.1441	-0.96192	0.594
51088	184A1	10062	GSK1070916	13.122	0.42628	0.093125	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98043	3.8059	0.38045	1.156	0.53115	-1	0.58649	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9978	0.66168	-1	5
51088	184A1	10062	GSK1070916	21.0586	0.44843	0.12365	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99272	7.4177	0.23373	0.60388	0.66178	-0.55024	0.38884	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99251	2.674	-0.79806	0.68319
51088	184A1	10142	Trametinib	0.057214	0.4693	0.36745	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97231	0.0022539	0.47338	0.90692	0.0012242	-0.26572	0.88902	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97364	0.001998	-0.26133	0.85825
51088	184A1	10142	Trametinib	Inf	0.52901	0.30521	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99477	0.0044596	0.52463	1.2675	0.0024693	-0.33184	0.88045	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99534	0.0037317	-0.34108	1.2595
51088	184A1	10013	GSK461364	13.0618	0.10145	0.094554	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99075	13.0618	1.71E-07	2.304	6.0542	-0.96696	0.25767	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9755	9.1648	-1	2.6497
51088	184A1	10013	GSK461364	26.952	0.40833	0.020299	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97618	21.1496	0.26561	3.125	12.6123	-0.99977	0.077997	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99316	15.7149	-0.99999	4.9951
51088	184A1	10013	GSK461364	95.3288	0.58309	0.10434	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.77061	95.3288	2.26E-14	0.45217	Inf	0.48348	0.18874	flat fit: x = Einf	0.40475	Inf	0.48348	0
51088	184A1	10257	GSK923295	16.0281	0.13681	0.083662	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.97672	15.4688	0.050555	3.0009	8.4886	-0.94863	0.23772	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.94643	11.6737	-1	3.4482
51088	184A1	10257	GSK923295	24.9273	0.34511	0.055056	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.95895	21.7494	0.17543	3.1683	Inf	-1	0.34336	flat fit: x = Einf	0.44116	Inf	-1	0
51088	184A1	10257	GSK923295	Inf	0.60367	0.099265	flat fit: x = Einf	0.56965	Inf	0.60367	0	Inf	0.19882	0.23893	flat fit: x = Einf	0.48222	Inf	0.19882	0
51088	184A1	10029	GW-5074	4.1821	0.14337	0.13813	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98405	3.5682	0.092119	1.2828	2.1812	-0.54496	0.25224	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99334	4.3643	-0.67442	1.2312
51088	184A1	10258	Ibandronate	227.7564	0.01479	0.15719	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99302	227.7564	4.08E-11	1.8341	155.1649	-0.91462	0.27875	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99636	288.2303	-1	1.774
51088	184A1	10259	ICRF-193	Inf	0.7771	0.08361	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.92035	0.16025	0.79963	0.67419	Inf	0.64319	0.13341	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.92169	0.17053	0.6778	0.65586
51088	184A1	10228	IKK16	1.7106	0.0062712	0.26634	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98466	1.7106	2.41E-10	1.2445	1.0109	-0.95858	0.50886	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98817	2.3687	-1	1.2902
51088	184A1	10023	Imatinib	24.08	0.0020337	0.22983	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99259	24.08	2.94E-09	2.102	17.902	-0.98989	0.45181	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99651	28.4069	-1	2.3794
51088	184A1	10261	Ixabepilone	0.31272	0.0038021	0.39967	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.96007	0.31272	1.91E-10	0.54973	0.14473	-0.96053	0.68464	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9478	0.76299	-1	0.66086
51088	184A1	10261	Ixabepilone	0.53364	0.0039294	0.34774	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99609	0.53265	0.0026475	2.8611	0.46916	-0.93083	0.62344	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99851	0.71594	-0.93059	2.4872
51088	184A1	10051	Lapatinib	2.8779	0.36095	0.10631	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99404	1.6815	0.35767	2.3381	1.9517	0.079146	0.1512	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99565	1.8226	0.073544	2.3247
51088	184A1	10051	Lapatinib	Inf	0.50744	0.043387	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.79861	1.0703	0.65106	5	1.8159	0.23326	0.085027	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.80438	1.0746	0.46371	5
51088	184A1	10263	LBH589	0.59866	0.054117	0.28499	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9861	0.53575	0.05175	0.98405	0.2916	-0.74186	0.49167	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99104	0.84287	-0.79038	0.8932
51088	184A1	10230	Lestaurtinib	1.8318	0.020997	0.20648	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99053	1.7928	0.030219	2.9001	1.4668	-0.86854	0.3813	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99593	2.2639	-0.86717	2.3175
51088	184A1	10264	Methotrexate	0.065086	0.2174	0.53172	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99766	0.055283	0.21195	3.3782	0.051112	-0.30717	0.88784	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9988	0.059291	-0.31958	3.3294
51088	184A1	10264	Methotrexate	0.066168	0.18868	0.56512	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99569	0.060306	0.18306	4.9147	0.057902	-0.29943	0.90276	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99657	0.064095	-0.31284	4.7819
51088	184A1	10107	MG-132	0.04277	0.037859	0.52744	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.95977	0.033748	0.10433	0.98773	0.021025	-0.80861	0.94133	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.96949	0.064213	-0.74737	0.81879
51088	184A1	10265	MLN4924	3.7764	0.36564	0.22707	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98684	0.55396	0.37227	0.71097	0.62572	-0.039614	0.36019	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98815	0.70176	-0.040611	0.68095
51088	184A1	10099	Nilotinib	Inf	0.8807	0.053711	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.80135	0.16839	0.90455	1.0089	Inf	0.82507	0.07907	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.80337	0.17193	0.85972	1.0146
51088	184A1	10266	NSC 663284	1.8758	0.0098752	0.34348	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99476	1.868	0.0099515	4.8323	1.6147	-0.93324	0.65373	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99704	2.0237	-0.9306	4.6561
51088	184A1	10267	NU6102	11.0264	0.036307	0.12367	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98528	11.0264	8.45E-09	1.7121	6.5827	-0.87223	0.24759	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.9935	12.9337	-1	1.6266
51088	184A1	10268	Nutlin 3a	8.1822	0.0068829	0.1631	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.95888	8.1822	1.79E-13	0.8903	3.2191	-0.97264	0.31353	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.95589	10.2239	-1	0.95067
51088	184A1	10268	Nutlin 3a	8.7724	0.011954	0.17288	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.94169	8.7724	1.35E-12	0.8308	6.745	-0.89512	0.27851	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.93866	16.561	-1	1.2231
51088	184A1	10344	Olomoucine II	5.3344	0.26097	0.17257	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98706	3.9341	0.27116	2.5669	3.3498	-0.3445	0.33127	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99555	4.0891	-0.32366	2.5031
51088	184A1	10269	Oxaliplatin	5.249	0.0047367	0.3741	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.98898	5.2485	3.54E-05	0.72987	0.5495	-0.99959	0.88468	sigmoidal fit: x = Einf + (1-Einf)/(1+ (x/EC50)^Hill)	0.99189	2.244	-1	0.78081
